ticker,total_trades,resolved_trades,win_rate_pct,assigned_count,total_premium,total_pnl,avg_pnl,avg_premium,avg_hold_days,avg_pnl_pct,avg_return_on_notional_pct,max_loss,max_win
AAPL,20.0,20.0,85.0,0.0,55259.01000000002,1348.6399999999999,67.43199999999999,2762.950500000001,3.1,325.84437479172544,0.318534575029128,-165.69,271.3
AMZN,8.0,8.0,100.0,0.0,4767.429999999999,581.97,72.74625,595.9287499999999,2.5,115.32046208858186,0.39666705427056254,3.61,163.6
COST,1.0,1.0,100.0,0.0,1744.34,128.68,128.68,1744.34,1.0,7.964546996273969,0.1496279069767442,128.68,128.68
CRM,1.0,1.0,100.0,0.0,1165.01,9.96,9.96,1165.01,2.0,0.8623003333189041,,9.96,9.96
CRWV,21.0,21.0,85.71428571428571,0.0,58718.18000000001,2900.9100000000003,138.13857142857145,2796.10380952381,9.19047619047619,137.11250397040746,0.414274108957293,-1360.68,1863.98
FIG,10.0,10.0,30.0,0.0,3259.0,-1227.34,-122.734,325.9,72.6,-20.105590621267005,1.3897333333333337,-506.2,158.68
GOOGL,13.0,13.0,92.3076923076923,0.0,36925.65,2220.8699999999994,170.8361538461538,2840.4346153846154,19.692307692307693,10.727973586902419,0.42534331132407593,-674.34,1416.33
HOOD,41.0,41.0,82.92682926829268,0.0,12623.800000000001,2974.95,72.55975609756098,307.8975609756098,0.975609756097561,223.28324179802,0.37166769700888036,-216.74,438.27
IBIT,33.0,33.0,87.87878787878788,0.0,42262.52000000001,-11473.349999999997,-347.6772727272726,1280.6824242424245,2.121212121212121,98.71676009243613,0.3387119705295322,-13046.88,373.02
META,14.0,14.0,85.71428571428571,0.0,32429.660000000007,1070.1899999999998,76.44214285714284,2316.4042857142863,8.642857142857142,4.005575550822369,0.17327087036717434,-351.41,538.57
MSFT,1.0,1.0,100.0,0.0,829.99,1.99,1.99,829.99,20.0,0.24033816425120774,,1.99,1.99
NVDA,206.0,206.0,83.49514563106796,0.0,245080.75999999998,30209.280000000002,146.64699029126214,1189.712427184466,39.228155339805824,76.16887328936943,0.01451916002404467,-3581.38,6988.06
ORCL,13.0,13.0,92.3076923076923,0.0,3604.26,1408.45,108.3423076923077,277.25076923076927,0.46153846153846156,1913.2906841696833,0.40809575192589354,-36.7,288.66
PLTR,36.0,36.0,80.55555555555556,0.0,46150.62,-4680.420000000001,-130.01166666666668,1281.9616666666668,9.38888888888889,45.865120036026816,0.8571202045978439,-2108.68,378.87
RDDT,2.0,2.0,100.0,0.0,4308.51,378.15,189.075,2154.255,160.5,10.584634732149452,1.775275,138.57,239.58
RIVN,3.0,3.0,33.33333333333333,0.0,1932.27,-4412.44,-1470.8133333333333,644.09,382.6666666666667,-32.91588021851737,2.0352941176470587,-2240.19,34.6
SNOW,10.0,10.0,20.0,0.0,8142.4,-4107.0599999999995,-410.70599999999996,814.24,696.1,-28.00017470829466,3.0321282051282052,-1469.04,688.6
TQQQ,40.0,40.0,82.5,0.0,67962.14,646.8800000000001,16.172000000000004,1699.0535,6.575,250.48106770994062,0.3665813707512203,-877.95,937.94
TSLA,16.0,16.0,43.75,0.0,11465.47,12.550000000000011,0.7843750000000007,716.591875,845.375,621.829417307189,0.31933067198935466,-352.25,262.42
UBER,12.0,12.0,83.33333333333334,0.0,4422.1,472.99000000000007,39.41583333333334,368.5083333333334,16.083333333333332,23.000682951700487,0.5639882957775376,-12.36,118.63
UNH,1.0,1.0,100.0,0.0,579.33,38.67,38.67,579.33,35.0,7.152369326378871,0.12474193548387097,38.67,38.67
nan,13.0,13.0,100.0,0.0,0.0,2530.379999999999,194.64461538461532,0.0,,-100.0,,1.36,654.22
